"n_killed","longitude","latitude","date","n_injured","source_url"
1,-75.1799,39.9727,2017-04-02,0,"http://philadelphia.cbslocal.com/2017/04/02/man-dog-killed-in-north-philadelphia-shooting/"
1,-75.0974,40.0268,2017-04-02,0,"http://www.philly.com/philly/blogs/real-time/Philadelphia-Roosevelt-Blvd-shooting-fatal.html"
1,-75.1694,39.9948,2017-04-03,0,"http://philadelphia.cbslocal.com/2017/04/03/north-philadelphia-fatal-shooting/"
1,-78.4071,41.6717,2017-04-03,0,"http://www.bradfordera.com/news/police-investigate-unrelated-alleged-suicides-monday-evening/article_c121d776-18f0-11e7-9f3c-bbe68f3b88d7.html"
1,-78.7856,41.6645,2017-04-03,0,"http://www.bradfordera.com/news/police-investigate-unrelated-alleged-suicides-monday-evening/article_c121d776-18f0-11e7-9f3c-bbe68f3b88d7.html"
3,-75.154,39.9717,2017-04-03,1,"http://6abc.com/news/$70k-reward-in-deadly-shooting-near-n-philadelphia-school/1832806/"
1,-76.7383,39.9576,2017-04-03,0,"http://www.ydr.com/story/news/crime/2017/12/27/teenager-accused-fatally-shooting-man-york-tried-adult-criminal/984437001/"
1,-75.0716,40.0158,2017-04-04,0,"http://www.philly.com/philly/blogs/real-time/Harold-Aiken-fatal-shooting-Frankford-April-2017.html"
1,-79.9229,40.458,2017-04-05,0,"http://www.post-gazette.com/local/east/2017/04/06/Shadyside-shooting-Pittsburgh-Swope-Street-East-Liberty/stories/201704060235"
1,-75.5792,40.5118,2017-04-08,0,"http://www.lehighvalleylive.com/lehigh-county/index.ssf/2017/07/16-year-old_adjudicated.html"
1,-75.1778,39.9937,2017-04-09,1,"http://6abc.com/news/1-dead-1-injured-in-strawberry-mansion-shooting/1854199/"
1,-76.0259,40.2207,2017-04-09,0,"http://lancasteronline.com/news/local/man-to-stand-trial-in-fatal-shooting-of-his-friend/article_5f65887a-26e2-11e7-850b-fb67bc10a966.html"
